ID,行政區,地址,店名,店家說明
027226ee-c098-4ddd-b834-2499916616d9,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 一元行,各式水餃
05e33144-92ee-4c6c-9dd6-dd86c797b00b,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 吉祥蔬果,各式蔬菜
07a21259-775e-473e-8105-8acb6478d287,信義區,臺北市信義區松山路294號,永春市場21號-自由市集商行,貢丸
08e65d6b-5e09-4732-8aad-ea1b5eb46ada,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 大嘉海鮮豆乾,新鮮食材，物美價廉
0959ec67-18b4-4481-848c-84e09d7c9bc0,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 木柵綠竹筍,新鮮竹筍
10c57f71-35bb-431f-baad-d01a5a4fcf43,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 宣宣服飾,各式進口服飾
47a77097-4b49-4d75-9a1b-30b58b8c119d,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 易美水果鋪,各式水果
5019a382-1e6d-4c60-b0ef-ef1786f96cba,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 快樂藍鵲商行,有機自然農法食材
525bbb3c-dded-4e6c-9ad7-fa9d4a6c2fe8,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 老杜黑豬肉,台灣豬肉
7ab3f1d9-8ca3-4c7e-84e0-2d4c92a531b3,信義區,臺北市信義區臺北市信義區松山路294號,嘟嘟市集咖啡,嘟嘟市集咖啡
97732c68-c490-41e6-943a-3300841664bd,信義區,臺北市信義區松山路294號,羅家麵店(永春市場35號攤),新鮮麵條，拉麵 陽春麵 油麵 意麵 烏龍麵 雞絲麵 鍋燒意麵 關廟麵 麵線水餃皮 餛飩皮 板條 年糕，還有多樣罐頭雜貨，簡單方便就能在家料理一餐
9b41869a-a76f-4382-a4ef-24ca9de42e21,信義區,臺北市信義區松山路294號,鼎香肉鬆(永春市場29號攤),永春市場在地好味道 新鮮烘烤的肉乾/肉鬆 軟嫩多汁 大人小孩最愛的零嘴
9d4c7adc-b1bd-4f56-8f94-e1699a087ada,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 忠記基隆鮮魚,生猛海鮮
9e0f7a68-0307-43a6-967a-6e391330d3ab,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 光華肉店,台灣生鮮豬肉
a9266b04-2f66-429f-8078-8bdccef31d86,信義區,臺北市信義區松山路294號,鼎香肉舖(永春市場129號攤),永春市場老字號 美味肉乾肉鬆 還有桂花糕及古早味零食 傳統的好味道
aa238f65-b133-405b-88d4-6a3011efee93,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 羅門肉店,專營黑豬肉.高梁酒香腸
ab3e4a45-6019-4a0e-b10b-c3f41c9bb29b,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 阿美美食館,肉粽，各式小菜
b52c228d-f6c9-43ad-bc0d-790b55a3583b,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 同學的店,當令時蔬新鮮供應
d441ef54-4766-45e1-a0d5-0fbf645b646c,信義區,臺北市信義區仁愛路四段496巷19號,光復市場 湘璽,珠寶
d7a27084-c81b-4cff-9159-e892d93e44f0,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 雜七雜八,蔬菜及南北雜貨
dd2fbb02-545f-486f-8b31-37f0fd4d3c3e,信義區,臺北市信義區永吉路278巷1弄30號,永吉市場 許鮮魚攤,新鮮漁貨
e5270114-9e83-43c2-b28b-9fdd11b663ff,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 阿國水果攤,時令水果
ed157305-bec7-41b0-92f7-0b71c4cda5b8,信義區,臺北市信義區仁愛路496巷19號(光復市場43、44號),老王雞店,新鮮雞肉
ed5a5c39-fc96-477d-8c10-c1da13fa6a52,信義區,臺北市信義區仁愛路四段496巷19號 ,光復市場 藍媽媽手桿皮水餃,各式手桿皮水餃 豬肉水餃    牛肉水餃 雞肉水餃 蝦仁水餃 素食水餃
f76d78aa-c77d-4467-82ff-664706306c0e,信義區,臺北市信義區松山路294號,大業黃牛(永春市場42號攤),使用上等的黃牛 肉質香甜美味 不論是火鍋肉片 燉滷的肋條 應有盡有
